,Dis No,Year,Neighbors,Total Deaths
0,2015-0126-IND,2015,2015-0164-IND,100.0
1,2015-0126-IND,2015,2015-0118-IND,1.0
2,2015-0126-IND,2015,2015-0600-IND,23.0
3,2015-0261-JPN,2015,2015-0244-JPN,1.0
4,2015-0261-JPN,2015,2015-0456-JPN,8.0
5,2015-0261-JPN,2015,2015-0176-JPN,
6,2015-0261-JPN,2015,2015-0371-JPN,
7,2015-0261-JPN,2015,2015-0458-JPN,
8,2015-0016-MDG,2015,2015-0074-MDG,6.0
9,2015-0017-PHL,2015,2015-0105-PHL,
10,2015-0371-PHL,2015,2015-0462-PHL,51.0
11,2015-0371-PHL,2015,2015-0278-PHL,
12,2015-0371-PHL,2015,2015-0176-PHL,2.0
13,2015-0371-PHL,2015,2015-0244-PHL,5.0
14,2015-0371-PHL,2015,2015-0339-PHL,
15,2015-0371-PHL,2015,2015-0490-PHL,2.0
16,2015-0462-PHL,2015,2015-0371-PHL,40.0
17,2015-0462-PHL,2015,2015-0543-PHL,46.0
18,2015-0462-PHL,2015,2015-0278-PHL,
19,2015-0462-PHL,2015,2015-0244-PHL,5.0
20,2015-0462-PHL,2015,2015-0339-PHL,
21,2015-0462-PHL,2015,2015-0490-PHL,2.0
22,2015-0543-PHL,2015,2015-0462-PHL,51.0
23,2015-0543-PHL,2015,2015-0490-PHL,2.0
24,2015-0121-MEX,2015,2015-0187-MEX,14.0
25,2015-0226-NPL,2015,2015-0306-NPL,29.0
26,2015-0145-PAK,2015,2015-0215-PAK,20.0
27,2015-0145-PAK,2015,2015-0124-PAK,32.0
28,2015-0145-PAK,2015,2015-0333-PAK,18.0
29,2015-0145-PAK,2015,2015-0288-PAK,10.0
30,2015-0145-PAK,2015,2015-0291-PAK,238.0
31,2015-0107-IND,2015,2015-0253-IND,40.0
32,2015-0107-IND,2015,2015-0207-IND,8.0
33,2015-0107-IND,2015,2015-0249-IND,81.0
34,2015-0253-IND,2015,2015-0107-IND,44.0
35,2015-0253-IND,2015,2015-0317-IND,293.0
36,2015-0253-IND,2015,2015-0333-IND,25.0
37,2015-0253-IND,2015,2015-0413-IND,
38,2015-0253-IND,2015,2015-0207-IND,8.0
39,2015-0253-IND,2015,2015-0249-IND,81.0
40,2015-0253-IND,2015,2015-0374-IND,5.0
41,2015-0253-IND,2015,2015-0406-IND,18.0
42,2015-0317-IND,2015,2015-0253-IND,40.0
43,2015-0317-IND,2015,2015-0333-IND,25.0
44,2015-0317-IND,2015,2015-0413-IND,
45,2015-0317-IND,2015,2015-0207-IND,8.0
46,2015-0317-IND,2015,2015-0249-IND,81.0
47,2015-0317-IND,2015,2015-0374-IND,5.0
48,2015-0317-IND,2015,2015-0406-IND,18.0
49,2015-0333-IND,2015,2015-0253-IND,40.0
50,2015-0333-IND,2015,2015-0317-IND,293.0
51,2015-0333-IND,2015,2015-0413-IND,
52,2015-0333-IND,2015,2015-0207-IND,8.0
53,2015-0333-IND,2015,2015-0249-IND,81.0
54,2015-0333-IND,2015,2015-0374-IND,5.0
55,2015-0333-IND,2015,2015-0406-IND,18.0
56,2015-0413-IND,2015,2015-0253-IND,40.0
57,2015-0413-IND,2015,2015-0317-IND,293.0
58,2015-0413-IND,2015,2015-0333-IND,25.0
59,2015-0413-IND,2015,2015-0207-IND,8.0
60,2015-0413-IND,2015,2015-0249-IND,81.0
61,2015-0413-IND,2015,2015-0374-IND,5.0
62,2015-0413-IND,2015,2015-0406-IND,18.0
63,2015-0465-ITA,2015,2015-0532-ITA,2.0
64,2015-0465-ITA,2015,2015-0598-ITA,
65,2015-0460-LAO,2015,2015-0324-LAO,
66,2015-0547-LKA,2015,2015-0530-LKA,2.0
67,2015-0253-MMR,2015,2015-0308-MMR,149.0
68,2015-0308-MMR,2015,2015-0253-MMR,7.0
69,2015-0308-MMR,2015,2015-0492-MMR,16.0
70,2015-0144-NPL,2015,2015-0175-NPL,138.0
71,2015-0175-NPL,2015,2015-0144-NPL,8831.0
72,2015-0522-PER,2015,2015-0199-PER,
73,2015-0278-PHL,2015,2015-0371-PHL,40.0
74,2015-0278-PHL,2015,2015-0462-PHL,51.0
75,2015-0278-PHL,2015,2015-0105-PHL,
76,2015-0278-PHL,2015,2015-0176-PHL,2.0
77,2015-0278-PHL,2015,2015-0244-PHL,5.0
78,2015-0278-PHL,2015,2015-0339-PHL,
79,2015-0278-PHL,2015,2015-0490-PHL,2.0
80,2015-0283-PHL,2015,2015-0359-PHL,9.0
81,2015-0283-PHL,2015,2015-0279-PHL,8.0
82,2015-0283-PHL,2015,2015-0323-PHL,9.0
83,2015-0283-PHL,2015,2015-0284-PHL,4.0
84,2015-0359-PHL,2015,2015-0283-PHL,23.0
85,2015-0359-PHL,2015,2015-0279-PHL,8.0
86,2015-0359-PHL,2015,2015-0323-PHL,9.0
87,2015-0359-PHL,2015,2015-0284-PHL,4.0
88,2015-0194-TJK,2015,2015-0286-TJK,
89,2015-0286-TJK,2015,2015-0194-TJK,
90,2015-0129-IDN,2015,2015-0036-IDN,1.0
91,2015-0129-IDN,2015,2015-0056-IDN,
92,2015-0129-IDN,2015,2015-0076-IDN,2.0
93,2015-0129-IDN,2015,2015-0077-IDN,6.0
94,2015-0164-IND,2015,2015-0126-IND,27.0
95,2015-0164-IND,2015,2015-0118-IND,1.0
96,2015-0164-IND,2015,2015-0600-IND,23.0
97,2015-0279-PHL,2015,2015-0283-PHL,23.0
98,2015-0279-PHL,2015,2015-0359-PHL,9.0
99,2015-0279-PHL,2015,2015-0323-PHL,9.0
100,2015-0279-PHL,2015,2015-0284-PHL,4.0
101,2015-0113-PSE,2015,2015-0002-PSE,4.0
102,2015-0244-JPN,2015,2015-0261-JPN,2.0
103,2015-0244-JPN,2015,2015-0456-JPN,8.0
104,2015-0244-JPN,2015,2015-0176-JPN,
105,2015-0244-JPN,2015,2015-0371-JPN,
106,2015-0244-JPN,2015,2015-0458-JPN,
107,2015-0456-JPN,2015,2015-0261-JPN,2.0
108,2015-0456-JPN,2015,2015-0244-JPN,1.0
109,2015-0456-JPN,2015,2015-0371-JPN,
110,2015-0456-JPN,2015,2015-0458-JPN,
111,2015-0002-PSE,2015,2015-0113-PSE,
112,2015-0494-SOM,2015,2015-0484-SOM,
113,2015-0127-IRN,2015,2015-0088-IRN,3.0
114,2015-0036-IDN,2015,2015-0129-IDN,
115,2015-0036-IDN,2015,2015-0056-IDN,
116,2015-0036-IDN,2015,2015-0076-IDN,2.0
117,2015-0036-IDN,2015,2015-0077-IDN,6.0
118,2015-0056-IDN,2015,2015-0129-IDN,
119,2015-0056-IDN,2015,2015-0036-IDN,1.0
120,2015-0056-IDN,2015,2015-0076-IDN,2.0
121,2015-0056-IDN,2015,2015-0077-IDN,6.0
122,2015-0076-IDN,2015,2015-0129-IDN,
123,2015-0076-IDN,2015,2015-0036-IDN,1.0
124,2015-0076-IDN,2015,2015-0056-IDN,
125,2015-0076-IDN,2015,2015-0077-IDN,6.0
126,2015-0077-IDN,2015,2015-0129-IDN,
127,2015-0077-IDN,2015,2015-0036-IDN,1.0
